Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,21.0,SSE-Elbow,869695.8027725664,21
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,21.0,DB,1.5420169437207127,21
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,21.0,BIC,872242.7211313392,21
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,22.0,VRC,8622.00286543095,22
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,22.0,Silhouette,0.15720115405804885,22
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,22.0,SSE-Elbow,855214.0869726522,22
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,22.0,DB,1.5597140185048963,22
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,22.0,BIC,857882.915394624,22
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,23.0,VRC,8396.18356618607,23
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,23.0,Silhouette,0.15696755520672018,23
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,23.0,SSE-Elbow,842680.9572147115,23
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,23.0,DB,1.5240187875332485,23
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,23.0,BIC,845472.2134309718,23
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,24.0,VRC,8119.7784069237505,24
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,24.0,Silhouette,0.15646750545764784,24
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,24.0,SSE-Elbow,835841.7930841123,24
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,24.0,DB,1.515616320811912,24
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,24.0,BIC,838755.0693514976,24
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,25.0,VRC,7961.330744114611,25
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,25.0,Silhouette,0.15609675131020737,25
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,25.0,SSE-Elbow,821731.0668546438,25
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,25.0,DB,1.5197019264220963,25
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,25.0,BIC,824766.2809413899,25
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,26.0,VRC,7723.074281133947,26
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,26.0,Silhouette,0.15435181300158596,26
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,26.0,SSE-Elbow,815333.1829642709,26
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,26.0,DB,1.550624394845594,26
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,26.0,BIC,818490.4409328751,26
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,27.0,VRC,7619.980597087241,27
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,27.0,Silhouette,0.15240964695135872,27
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,27.0,SSE-Elbow,799688.9706754825,27
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,27.0,DB,1.5465853674257914,27
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,27.0,BIC,802966.3792891527,27
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,28.0,VRC,7446.5018823916125,28
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,28.0,Silhouette,0.1446583393554952,28
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,28.0,SSE-Elbow,790848.0568999976,28
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,28.0,DB,1.559388607669186,28
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,28.0,BIC,794247.9469419327,28
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,29.0,VRC,7339.969287935625,29
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,29.0,Silhouette,0.14714857957036853,29
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,29.0,SSE-Elbow,777779.5539949755,29
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,29.0,DB,1.5320415065715025,29
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,29.0,BIC,781302.6869341477,29
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,30.0,VRC,7211.961982485781,30
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,30.0,Silhouette,0.14713566844587145,30
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,30.0,SSE-Elbow,767471.8343295302,30
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,30.0,DB,1.5267228517042548,30
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,30.0,BIC,771116.2251178492,30
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,35.0,VRC,6706.010558203047,35
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,35.0,Silhouette,0.1470818355313649,35
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,35.0,SSE-Elbow,718002.8859481981,35
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,35.0,DB,1.519925216530026,35
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,35.0,BIC,722257.1118675178,35
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,40.0,VRC,6168.317053745539,40
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,40.0,Silhouette,0.14660511110645125,40
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,40.0,SSE-Elbow,688430.1294616954,40
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,40.0,DB,1.5562415107765726,40
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,40.0,BIC,693293.0153609231,40
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,45.0,VRC,5729.883079287703,45
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,45.0,Silhouette,0.14297434655998367,45
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,45.0,SSE-Elbow,663298.4940722146,45
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,45.0,DB,1.5687324894492387,45
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,45.0,BIC,668770.8968465191,45
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,50.0,VRC,5412.126168790608,50
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,50.0,Silhouette,0.14589730469461068,50
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,50.0,SSE-Elbow,636968.2871685785,50
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,50.0,DB,1.5472896120729482,50
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,50.0,BIC,643050.7269861171,50
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,55.0,VRC,5074.318934972988,55
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,55.0,Silhouette,0.13507923622545023,55
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,55.0,SSE-Elbow,620349.8671123027,55
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,55.0,DB,1.6100367552590082,55
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,55.0,BIC,627041.2266889431,55
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,60.0,VRC,4846.717498393769,60
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,60.0,Silhouette,0.13951711420833135,60
